L0,175347046,0,0
L0,3341656,4.6692568,6283.07585
L0,34894,4.6261,12566.1517
L0,3497,2.7441,5753.3849
L0,3418,2.8289,3.5231
L0,3136,3.6277,77713.7715
L0,2676,4.4181,7860.4194
L0,2343,6.1352,3930.2097
L0,1324,0.7425,11506.7698
L0,1273,2.0371,529.691
L0,1199,1.1096,1577.3435
L0,990,5.233,5884.927
L0,902,2.045,26.298
L0,857,3.508,398.149
L0,780,1.179,5223.694
L0,753,2.533,5507.553
L0,505,4.583,18849.228
L0,492,4.205,775.523
L0,357,2.92,0.067
L0,317,5.849,11790.629
L0,284,1.899,796.298
L0,271,0.315,10977.079
L0,243,0.345,5486.778
L0,206,4.806,2544.314
L0,205,1.869,5573.143
L0,202,2.458,6069.777
L0,156,0.833,213.299
L0,132,3.411,2942.463
L0,126,1.083,20.775
L0,115,0.645,0.98
L0,103,0.636,4694.003
L0,102,0.976,15720.839
L0,102,4.267,7.114
L0,99,6.21,2146.17
L0,98,0.68,155.42
L0,86,5.98,161000.69
L0,85,1.3,6275.96
L0,85,3.67,71430.7
L0,80,1.81,17260.15
L0,79,3.04,12036.46
L0,75,1.76,5088.63
L0,74,3.5,3154.69
L0,74,4.68,801.82
L0,70,0.83,9437.76
L0,62,3.98,8827.39
L0,61,1.82,7084.9
L0,57,2.78,6286.6
L0,56,4.39,14143.5
L0,56,3.47,6279.55
L0,52,0.19,12139.55
L0,52,1.33,1748.02
L0,51,0.28,5856.48
L0,49,0.49,1194.45
L0,41,5.37,8429.24
L0,41,2.4,19651.05
L0,39,6.17,10447.39
L0,37,6.04,10213.29
L0,37,2.57,1059.38
L0,36,1.71,2352.87
L0,36,1.78,6812.77
L0,33,0.59,17789.85
L0,30,0.44,83996.85
L0,30,2.74,1349.87
L0,25,3.16,4690.48
L1,6.28332E+11,0,0
L1,206059,2.678235,6283.07585
L1,4303,2.6351,12566.1517
L1,425,1.59,3.523
L1,119,5.796,26.298
L1,109,2.966,1577.344
L1,93,2.59,18849.23
L1,72,1.14,529.69
L1,68,1.87,398.15
L1,67,4.41,5507.55
L1,59,2.89,5223.69
L1,56,2.17,155.42
L1,45,0.4,796.3
L1,36,0.47,775.52
L1,29,2.65,7.11
L1,21,5.34,0.98
L1,19,1.85,5486.78
L1,19,4.97,213.3
L1,17,2.99,6275.96
L1,16,0.03,2544.31
L1,16,1.43,2146.17
L1,15,1.21,10977.08
L1,12,2.83,1748.02
L1,12,3.26,5088.63
L1,12,5.27,1194.45
L1,12,2.08,4694
L1,11,0.77,553.57
L1,10,1.3,6286.6
L1,10,4.24,1349.87
L1,9,2.7,242.73
L1,9,5.64,951.72
L1,8,5.3,2352.87
L1,6,2.65,9437.76
L1,6,4.67,4690.48
L2,52919,0,0
L2,8720,1.0721,6283.0758
L2,309,0.867,12566.152
L2,27,0.05,3.52
L2,16,5.19,26.3
L2,16,3.68,155.42
L2,10,0.76,18849.23
L2,9,2.06,77713.77
L2,7,0.83,775.52
L2,5,4.66,1577.34
L2,4,1.03,7.11
L2,4,3.44,5573.14
L2,3,5.14,796.3
L2,3,6.05,5507.55
L2,3,1.19,242.73
L2,3,6.12,529.69
L2,3,0.31,398.15
L2,3,2.28,553.57
L2,2,4.38,5223.69
L2,2,3.75,0.98
L3,289,5.844,6283.076
L3,35,0,0
L3,17,5.49,12566.15
L3,3,5.2,155.42
L3,1,4.72,3.52
L3,1,5.3,18849.23
L3,1,5.97,242.73
L4,114,3.142,0
L4,8,4.13,6283.08
L4,1,3.84,12566.15
L5,1,3.14,0
B0,280,3.199,84334.662
B0,102,5.422,5507.553
B0,80,3.88,5223.69
B0,44,3.7,2352.87
B0,32,4,1577.34
B1,9,3.9,5507.55
B1,6,1.73,5223.69
R0,100013989,0,0
R0,1670700,3.0984635,6283.07585
R0,13956,3.05525,12566.1517
R0,3084,5.1985,77713.7715
R0,1628,1.1739,5753.3849
R0,1576,2.8469,7860.4194
R0,925,5.453,11506.77
R0,542,4.564,3930.21
R0,472,3.661,5884.927
R0,346,0.964,5507.553
R0,329,5.9,5223.694
R0,307,0.299,5573.143
R0,243,4.273,11790.629
R0,212,5.847,1577.344
R0,186,5.022,10977.079
R0,175,3.012,18849.228
R0,110,5.055,5486.778
R0,98,0.89,6069.78
R0,86,5.69,15720.84
R0,86,1.27,161000.69
R0,65,0.27,17260.15
R0,63,0.92,529.69
R0,57,2.01,83996.85
R0,56,5.24,71430.7
R0,49,3.25,2544.31
R0,47,2.58,775.52
R0,45,5.54,9437.76
R0,43,6.01,6275.96
R0,39,5.36,4694
R0,38,2.39,8827.39
R0,37,0.83,19651.05
R0,37,4.9,12139.55
R0,36,1.67,12036.46
R0,35,1.84,2942.46
R0,33,0.24,7084.9
R0,32,0.18,5088.63
R0,32,1.78,398.15
R0,28,1.21,6286.6
R0,28,1.9,6279.55
R0,26,4.59,10447.39
R1,103019,1.10749,6283.07585
R1,1721,1.0644,12566.1517
R1,702,3.142,0
R1,32,1.02,18849.23
R1,31,2.84,5507.55
R1,25,1.32,5223.69
R1,18,1.42,1577.34
R1,10,5.91,10977.08
R1,9,1.42,6275.96
R1,9,0.27,5486.78
R2,4359,5.7846,6283.0758
R2,124,5.579,12566.152
R2,12,3.14,0
R2,9,3.63,77713.77
R2,6,1.87,5573.14
R2,3,5.47,18849.23
R3,145,4.273,6283.076
R3,7,3.92,12566.15
R4,4,2.56,6283.08
